id_trajectory,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
5,7,"[0, 0, 1, 0, 0, 0]","[49.977203076535815, -8.954639929433922, 8.505604368770063, 0.668903822218834, 0.2874095445655819, 0.01686850251401488]","[50.755477685109106, -7.997603559062214, 0, 0, 0, 0]",[],1
6,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.0, 0.0]",1
6,1,"[0, 0, 1, 0, 0, 0]","[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.06981, 0.0]",1
6,2,"[0, 0, 1, 0, 0, 0]","[12.70559334174142, -4.891237127357585, 9.035515188882433, 0.683261539707156, -0.006586382029365406, 0.018754427193272413]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.01745, 0.0]",1
6,3,"[0, 0, 1, 0, 0, 0]","[21.439965973621224, -5.774531121535924, 8.699768778086955, 0.3985672825989649, -0.10738594648936366, -0.0033733518557702027]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.03491, 0.0]",1
6,4,"[0, 0, 1, 0, 0, 0]","[30.024132938733267, -6.723959801180633, 8.421141864147138, 0.4966596549522629, -0.003454909162551058, 0.00263534069949321]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.08727, 0.0]",1
6,5,"[0, 0, 1, 0, 0, 0]","[37.05967580472324, -5.480907407466007, 5.320454813705128, 0.7125714944565635, 0.5041245667825307, 0.005644074077471577]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.01745, 0.0]",1
6,6,"[0, 0, 1, 0, 0, 0]","[41.09787787053088, -5.212299163627085, 4.222761337558744, 0.6496537893352788, -0.19054450108118962, -0.022739375902924113]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.0, 0.0]",1
6,7,"[0, 0, 1, 0, 0, 0]","[46.29532350980727, -8.56572472946709, 8.58078545897247, 0.24894704645374297, -0.6775585072863073, -0.008310837738394533]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.10472, 0.0]",1
6,8,"[0, 0, 1, 0, 0, 0]","[55.044626176161835, -10.35436600770903, 8.43831824906497, 0.8373537075972671, 0.44677831647321614, 0.030419652091050426]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]","[-0.0, 0.0]",1
6,9,"[0, 0, 1, 0, 0, 0]","[58.65667543576356, -9.183102219147292, 6.415514267204357, 0.38829700423406893, 0.25940514648886515, -0.013735714652417179]","[58.66248155311308, -8.49909580156482, 0, 0, 0, 0]",[],1
7,0,"[0, 0, 1, 0, 0, 0]","[0.0, 0.0, 4.257165346815115, 0.0, 0, 0]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]","[-0.0, 0.0]",1
7,1,"[0, 0, 1, 0, 0, 0]","[4.833593742993324, -1.9561447297269416, 7.023492212473488, 0.33250685111525674, -0.53210536563414, -0.011984719408558431]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]","[-0.01745, 0.0]",1
7,2,"[0, 0, 1, 0, 0, 0]","[12.372279371580719, -7.233444356472249, 11.197549274327457, 0.32787400882419043, -0.564533901982353, 0.002735608037242335]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]","[-0.01745, 0.0]",1
7,3,"[0, 0, 1, 0, 0, 0]","[23.22822619002, -13.511724361467497, 13.559370944272544, 0.3349177053291896, -0.4204654156306958, 0.005765728648799595]","[46.95093257513877, -15.291813618336832, 0, 0, 0, 0]","[-0.01745, 0.0]",1
