id_camino,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
1,17,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[3.121718226726872, -3.1118867473890495, -0.875314297838125, 2.6929234847175687, 0.659737361603415, 0.01915797055315009]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,18,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[3.263947416174786, -3.3252587949112433, -0.08503196987994752, 0.9288182587098043, 0.6587613720550026, -0.002744256483286481]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
1,19,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[3.3912833801869096, -3.659714090281867, -0.6784649857186485, 2.589178758538075, 0.601153456890986, -0.019982053055805526]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,20,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[3.5405854533643515, -3.8841498098466727, 0.172920784866544, 1.0521776893475285, 0.4340288045237582, -0.019787513577228952]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,21,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[3.6495916863884967, -4.064644178177275, 0.16925927713964264, 1.0427873849147193, 0.3532816083897643, -0.005562348232485225]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",0.2
1,22,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[3.7852434826781156, -4.423222552339065, 0.47062957060408206, 2.758704044007908, 0.18783320700952796, -0.06556786176858646]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",0.2
1,23,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[4.092587576255963, -5.06692108094806, 4.218583968187004, 1.0782593708943538, -0.8405754107690478, -0.13638539927154172]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.03491, 0.0]",0.2
1,24,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[4.5641542808405395, -5.977525490962108, 5.960176006332357, 0.32767204516405546, -1.0451573534586736, 0.0017018700287360828]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.0, 1]",0.2
1,25,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[4.62173489679473, -6.0903278641444585, 6.1252667427318395, 0.3090354462610602, -1.0471626351907026, -0.0066976951831778965]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",0.2
1,26,"[0, 0, 2.890803700274776, 0.749966278750329, 0.2538357214402227, 0]","[5.295384217243103, -7.284997481880771, 7.601802357828359, 0.6845862043553531, -0.894401819476493, 0.029105967619600038]","[18.909971562177017, -9.090455721320215, 0, 0, 0.5235987755982988, 0]","[-0.10472, 0.0]",0.2
